id,Place of origin,Place of destination
0,Egypt,Northern Italy
1,Cos,Northern Italy
2,Rhodes,Northern Italy
3,Aegean,Northern Italy
5,Rhodes,northern Italy
6,Aegean,Northern Italy
7,Aegean via Cosa,France
8,Aegean.,Rome
9,Aegean,Northern Italy
10,Aegean/N. Africa/Propontis,Sicily/Rome
11,Proconnesus,"Claros, Turkey"
12,Greece,Northern Italy
29,Eastern Cilicia,Aegean? Rome
34,Cos,Black Sea
37,"Thessaly, Proconnesus",Black Sea
42,Corinth,Italy
43,Aegean,Italy
47,Corinth,Pergamum
50,Adriatic,Aegean
52,Carystos,Italy
59,Aegean,Levant
60,Italy,Caesarea
63,Adriatic,Alexandria
64,Italy via Crete and Rhodes,Alexandria
65,Aegean,North Africa
66,Thasos,Black Sea
67,Aegean,India
68,Alex/ Pergamum/ Aegean,Rome
69,Rhodes,Rome
70,Assos,Italy
72,Aegean,Italy
74,Aegean,Rome
75,Aegean,Italy
76,Italy,India
77,Italy,India
78,Aegean,France/Spain
79,Luna,South of France
85,Cos,Rome
96,Adriatic,Aegean
109,Aegean,Rome
110,Aegean,Rome
112,"Aegean, Italy",France/Spain
113,"Cos, Crete, Italy",France
114,Luna,Inland France
115,Aegean via southern Italy,France
116,Egypt? Luna,"France, Spain"
117,Aegean and lastly Cyprus.,Aegean
119,Rhodes,Cyprus/ Levant
122,Adriatic,Cyprus/Levant
124,Corinth,Cyprus/Levant
125,Pamphylia,Alexandria
126,Aegean and Italy,North Africa
127,Aegean,North Africa
128,Carystos,North Africa
129,Tripolitania (?),"Brega, for trans shipment (?)"
130,Rhodes,Alexandria
131,Athens via Delos,Rome
132,General Mediterranean,France
134,Crete,Rome
135,"Palestine? Cilicia,  Aegean",Rome
